soundFile,word,location,repetition,trialnum,condition,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,tone_block_key_resp.keys,tone_block_key_resp.rt,sound_block_key_resp.keys,sound_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
bi.wav,0,3,1,231,R,,,,,0,38,38,38,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,1,1,232,R,,,,,0,39,39,39,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,2,1,233,R,,,,,0,40,40,40,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pa.wav,0,3,1,234,R,,,,,0,41,41,41,,,3,0.191737890244,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,1,1,235,R,,,,,0,42,42,42,,,4,0.371798992157,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,2,1,236,R,,,,,0,43,43,43,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,3,1,237,R,,,,,0,44,44,44,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
tu.wav,0,1,1,238,R,,,,,0,45,45,45,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bu.wav,0,2,1,239,R,,,,,0,46,46,46,,,3,0.240896940231,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
tu.wav,0,3,1,240,R,,,,,0,47,47,47,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,1,1,241,R,,,,,0,48,48,48,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,2,1,242,R,,,,,0,49,49,49,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,3,1,243,R,,,,,0,50,50,50,,,3,0.140280008316,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,1,1,244,R,,,,,0,51,51,51,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,2,1,245,R,,,,,0,52,52,52,,,3,0.389356136322,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,3,1,246,R,,,,,0,53,53,53,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
du.wav,0,1,1,247,R,,,,,0,54,54,54,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bi.wav,0,2,1,248,R,,,,,0,55,55,55,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
bi.wav,0,3,1,249,R,,,,,0,56,56,56,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,1,1,250,R,,,,,0,57,57,57,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ta.wav,0,2,1,251,R,,,,,0,58,58,58,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ba.wav,0,3,1,252,R,,,,,0,59,59,59,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
da.wav,0,1,1,253,R,,,,,0,60,60,60,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
tu.wav,0,2,1,254,R,,,,,0,61,61,61,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,3,1,255,R,,,,,0,62,62,62,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
ti.wav,0,1,1,256,R,,,,,0,63,63,63,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,2,1,257,R,,,,,0,64,64,64,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pu.wav,0,3,1,258,R,,,,,0,65,65,65,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
pi.wav,0,1,1,259,R,,,,,0,66,66,66,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
du.wav,0,2,1,260,R,,,,,0,67,67,67,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
di.wav,0,3,1,261,R,,,,,0,68,68,68,,,None,,du,3,sllip_007,60.8786854408,2C,auditory,2020_Jan_14_1940,
